Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1568.5402449372964
FDW14,OUT017,1466.4602255482628
NCN55,OUT010,572.2846326594446
FDQ58,OUT017,2490.3384646000004
FDY38,OUT027,5884.094373375295
FDH56,OUT046,1937.51974698234
FDL48,OUT018,772.5480556471535
FDC48,OUT027,2065.6018249847493
FDN33,OUT045,1533.5454624922359
FDA36,OUT017,3054.7984994049875
FDT44,OUT017,1952.1217374824128
FDQ56,OUT045,1455.9311333655671
NCC54,OUT019,571.9865410082251
FDU11,OUT049,2020.6241551080352
DRL59,OUT013,810.0530383453909
FDM24,OUT049,2475.1669199101307
FDI57,OUT045,3109.731184831937
DRC12,OUT018,3052.7200424518883
NCM42,OUT027,2914.291680319247
FDA46,OUT010,504.2451579363735
FDA31,OUT013,2849.9019953093402
NCJ31,OUT035,3869.0855582624704
FDG52,OUT046,769.6044141293908
NCL19,OUT019,287.1979351662809
FDS10,OUT035,3003.956295458961
FDX22,OUT010,561.9245864387024
NCF19,OUT035,769.6044141293908
NCE06,OUT046,2556.5486792343477
DRC27,OUT046,3888.2356224722894
FDE21,OUT035,1932.287692213624
NCR42,OUT019,129.9191954441515
FDX51,OUT018,3052.7200424518883
NCR06,OUT018,667.5154392102033
FDU31,OUT027,5884.094373375295
FDU59,OUT017,2563.4552795467766
FDR03,OUT027,5884.094373375295
FDS49,OUT027,2013.1962755399113
FDD48,OUT010,268.72182364671016
NCF18,OUT017,3054.7984994049875
NCD43,OUT027,2853.865588714969
NCD54,OUT018,2123.3979245939936
FDY19,OUT010,269.05364291236435
NCY54,OUT017,2851.764794322369
NCL19,OUT018,2465.099261148113
FDP23,OUT010,566.5345557350171
FDC26,OUT013,1693.9115738536711
FDR14,OUT010,129.9191954441515
NCS41,OUT035,3054.7984994049875
FDF41,OUT035,3904.236884701725
FDU34,OUT046,2028.4141876600759
DRH11,OUT046,922.1087194350765
FDM03,OUT013,1566.2394413807588
FDS31,OUT017,3013.640391842003
FDJ20,OUT017,2020.6241551080352
FDV44,OUT027,5123.594379620076
FDG02,OUT049,3054.7984994049875
FDA09,OUT013,2963.3335290731084
FDT04,OUT013,666.0904997745176
FDL58,OUT019,568.0367364977253
FDE52,OUT045,1492.2820889120014
FDW12,OUT035,2463.2364621350844
FDL51,OUT017,3674.0363792499334
NCY42,OUT027,3024.4011640583394
FDR07,OUT017,1535.7679338032633
FDN40,OUT045,2486.8400704863757
FDB35,OUT027,2682.612034872243
FDA22,OUT017,2565.6742656269853
NCL06,OUT046,4062.220612256072
FDI35,OUT013,3013.640391842003
NCW42,OUT045,3760.5789040088707
NCX06,OUT049,2975.6188945749163
FDC37,OUT027,2880.6018631052434
FDZ14,OUT018,2020.6241551080352
DRG49,OUT049,3884.0495026842073
NCG06,OUT045,4025.868397551751
DRC36,OUT045,2849.9019953093402
FDV21,OUT019,281.39402477874086
FDB53,OUT046,2463.2364621350844
DRP47,OUT019,570.4856558447168
FDA14,OUT013,2463.2364621350844
DRC24,OUT035,2486.8400704863757
FDW21,OUT018,1560.5762956857025
NCH29,OUT046,1535.7679338032633
FDU58,OUT013,3054.7984994049875
FDY27,OUT017,2866.929981703919
FDV56,OUT035,1582.5754839265126
FDT59,OUT046,3829.840589792144
FDB23,OUT046,3788.5658528438926
FDR49,OUT045,766.6923802627548
FDB03,OUT010,571.9865410082251
FDN39,OUT045,2565.6742656269853
FDX02,OUT027,5884.094373375295
FDQ16,OUT027,2876.9690334428137
FDU35,OUT018,1545.0336897375037
NCT29,OUT013,2020.6241551080352
FDZ27,OUT046,769.6044141293908
FDN57,OUT017,2044.2142808316798
FDA03,OUT018,2463.2364621350844
FDZ36,OUT045,3054.7984994049875
NCU05,OUT013,1371.4631746429961
FDT39,OUT018,2473.213361054327
FDK60,OUT017,1535.7679338032633
FDZ25,OUT017,2746.353305125647
FDG12,OUT046,2020.6241551080352
DRB01,OUT019,499.0495369518683
NCC43,OUT027,5884.094373375295
FDX13,OUT019,566.5345557350171
FDM22,OUT049,883.8266014279396
FDJ03,OUT027,1038.2331454421235
FDU14,OUT018,3771.242795700735
FDB33,OUT010,381.7309152823935
FDP27,OUT046,3054.7984994049875
FDO38,OUT010,159.27930755498474
FDE28,OUT027,5884.094373375295
FDO27,OUT035,1533.5454624922359
DRL23,OUT027,2874.4481463914067
FDS28,OUT046,920.5874758542562
FDX24,OUT013,1523.96525527089
FDZ02,OUT035,1535.7679338032633
FDL46,OUT045,1937.51974698234
FDS60,OUT027,4702.275393741234
NCO06,OUT017,657.0984979686089
FDO16,OUT035,1449.3136017786176
FDC60,OUT049,1475.7597690141247
FDA48,OUT018,3521.962041068647
FDZ36,OUT027,5109.4932210127035
FDK27,OUT045,2017.9956616224592
FDW23,OUT018,667.5154392102033
FDM14,OUT018,1665.3557308706463
FDM14,OUT013,1570.6738309855418
FDW60,OUT018,2864.8515247508208
FDE21,OUT013,1932.287692213624
NCM42,OUT035,1582.5754839265126
FDY59,OUT010,231.12780794722912
DRI49,OUT049,1384.2949737625618
FDT28,OUT019,362.97029184690757
FDQ22,OUT018,667.5154392102033
FDR60,OUT049,1333.3118229015954
FDC50,OUT019,237.48493227241917
FDV24,OUT013,2475.1669199101307
DRF48,OUT010,488.85936714071545
FDQ47,OUT046,657.0984979686089
DRN36,OUT049,1535.7679338032633
NCY06,OUT035,2031.0176681162868
FDE52,OUT035,1491.2302951898278
NCB54,OUT045,2028.4141876600759
NCF31,OUT035,2486.6301867509783
FDJ08,OUT027,5157.633228081511
NCC07,OUT017,1566.2394413807588
NCD19,OUT027,1166.0309487913378
FDL46,OUT049,1966.4109590250657
FDM20,OUT045,3902.6546695926863
NCI06,OUT010,449.351882887681
DRM11,OUT035,4070.8780826794437
NCH07,OUT018,2550.9762394364416
FDS23,OUT013,2038.9834022562209
FDO49,OUT018,771.0293535650763
FDS35,OUT049,1122.8212689441275
DRK39,OUT045,1408.2741606452632
DRI39,OUT049,932.5626109677396
FDV04,OUT017,2551.1918973765114
NCN14,OUT035,3054.7984994049875
FDH08,OUT013,3823.3125816674024
FDS20,OUT046,3054.7984994049875
FDV40,OUT049,1172.7983748083034
FDZ48,OUT010,255.51464172651515
FDS24,OUT027,2554.4928982042393
FDK44,OUT049,2849.9019953093402
FDS48,OUT045,2466.2463144794397
FDK26,OUT010,490.3602523042238
FDD23,OUT045,3054.7984994049875
NCH54,OUT017,2558.6924824043426
NCP14,OUT010,239.57714178548048
FDM60,OUT010,129.9191954441515
FDV24,OUT017,2473.213361054327
FDH08,OUT018,3601.2061338944754
FDS12,OUT027,3012.0361458262987
FDR39,OUT027,4765.460265988045
FDP12,OUT027,938.7240154900938
DRF60,OUT027,5884.094373375295
FDC09,OUT035,1566.2394413807588
FDF50,OUT018,3062.400787855457
FDG28,OUT035,3899.6758445349565
NCE19,OUT017,919.4436097260063
NCM53,OUT010,249.05418070945026
NCN18,OUT049,1677.4400323235238
FDF32,OUT035,3129.3320704404923
FDF11,OUT013,3881.882945618746
DRI59,OUT049,3785.0681267323657
NCG54,OUT035,2748.2161041386757
FDM44,OUT046,1559.2463017675282
FDT57,OUT018,3654.2885933340954
FDV24,OUT046,2473.213361054327
FDI50,OUT019,568.0354408985255
FDS09,OUT035,782.9022315413703
NCC31,OUT027,4113.577377076999
FDQ07,OUT019,571.9865410082251
FDC22,OUT017,3054.7984994049875
FDZ56,OUT046,2746.353305125647
FDZ40,OUT019,129.9191954441515
FDS46,OUT027,2940.4672286725954
DRD24,OUT045,2046.649654182436
FDV45,OUT017,3054.7984994049875
FDL26,OUT045,2495.333866697705
FDA56,OUT018,2020.6241551080352
FDN27,OUT046,1942.2793597749476
FDM20,OUT049,3886.6233193072803
FDO16,OUT017,1408.2741606452632
FDL03,OUT035,3054.7984994049875
FDE58,OUT046,1937.51974698234
FDI02,OUT027,2926.1367332852724
NCC55,OUT019,129.9191954441515
FDR03,OUT018,3267.514369346336
FDB14,OUT017,1523.96525527089
FDR45,OUT013,3884.0537761815967
NCN07,OUT017,2038.9834022562209
FDM51,OUT019,244.85976669532508
FDT52,OUT027,5884.094373375295
FDL26,OUT046,2488.090689595241
NCZ42,OUT046,3882.6348996869533
DRI47,OUT019,361.4678395299619
FDW40,OUT013,2046.649654182436
FDN34,OUT046,2746.353305125647
FDS01,OUT035,2888.4980186170924
NCG55,OUT045,1932.287692213624
